,airport_code,airport_full_name
316,CDR,Chadron Airport  Chadron
317,CCA,Chaffee AFB Airport  Fort Chaffee
318,CIK,Chalkyitsik Airport  Chalkyitsik
319,CHL,Challis Airport  Challis
320,YKN,Chan Gurney Airport  Yankton
321,WCR,Chandalar Airport  Chandalar
322,CHS,"Charleston, AFB Municipal Airport  Charleston, SC"
323,PGD,Charlotte County Airport  Punta Gorda
324,CLT,Charlotte Douglas Airport  Charlotte
325,CYM,Chatham SPB Airport  Chatham
326,CFK,"Chefornak Airport  Chefornak, AK"
327,CYF,Chefornak SPB Airport  Chefornak
328,CEX,Chena Hot Springs Airport  Chena Hot Springs
329,HCW,Cheraw Airport  Cheraw
330,CKK,Cherokee Airport  Cherokee
331,JKV,"Cherokee County Airport  Jacksonville, TX"
332,TVC,Cherry Capital Airport  Traverse City
333,FKL,Chess-Lambertin Airport  Franklin
334,CTH,Chestercounty Carlson Airport  Coatesville
335,VAK,Chevak Airport  Chevak
336,CYS,Cheyenne Airport  Cheyenne
337,CHI,Chicago FSS Airport  Chicago
338,NOH,Chicago NAS Airport  Chicago
339,ORD,"Chicago O'hare International Airport  Chicago, Il"
340,CKX,Chicken Airport  Chicken
341,CIC,Chico Airport  Chico
342,KCQ,Chignik Airport  Chignik
343,KBW,Chignik Bay Airport  Chignik
344,CDS,Childress Airport  Childress
345,JCC,China Basin Heliport Airport  San Francisco
346,CNO,Chino Airport  Chino
347,CIU,Chippewa County Airport  Sault Ste Marie
348,EAU,"Chippewa Valley Regional Airport  Eau Claire, WI"
349,CZN,Chisana Field Airport  Chisana
350,HIB,Chisholm Airport  Chisholm
351,CZO,Chistochina Airport  Chistochina
352,CXC,Chitina Arpt Airport  Chitina
353,CIV,Chomley Airport  Chomley
354,CHU,Chuathbaluk Airport  Chuathbaluk
355,LUK,"Cincinnati Municipal-Lunken Field Airport  Cincinnati, OH"
356,ISZ,"Cincinnati-Blue Ash Airport  Cincinnati, OH"
357,CVG,"Cincinnati/northern Kentucky Airport  Covington, KY"
358,RCP,Cinder River Airport  Cinder River
359,IRC,Circle City Airport  Circle
